Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude,location,point
The Beaches,853,"6,058","92,580",-79.296712,43.6710244,"The Beaches, Beaches—East York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4E 1E5, Canada","(43.6710244, -79.296712, 0.0)"
Thistletown-Beaumond Heights,612,"3,130","32,815",-79.567271,43.736096,,
Thorncliffe Park,746,"6,787","28,875",-79.3454074,43.704553,"Thorncliffe Park, Don Valley West, East York, Toronto, Golden Horseshoe, Ontario, M4H 1K3, Canada","(43.704553, -79.3454074, 0.0)"
Trinity-Bellwoods,1217,"9,570","50,694",-79.4138809026667,43.64756465,"Trinity Bellwoods Park, 1053, West Queen West, Spadina—Fort York, Toronto, Golden Horseshoe, Ontario, Canada","(43.64756465, -79.4138809026667, 0.0)"
University,1293,"5,395","50,757",-1.25166460220888,51.7520849,"University College, Logic Lane, Grandpont, Oxford, Oxfordshire, South East, England, OX1 4EX, United Kingdom","(51.7520849, -1.25166460220888, 0.0)"
Victoria Village,594,"3,710","35,786",-79.3111892,43.732658,"Victoria Village, Don Valley East, North York, Toronto, Golden Horseshoe, Ontario, M4A 2B1, Canada","(43.732658, -79.3111892, 0.0)"
Waterfront Communities-The Island,5674,"8,943","70,600",-106.7169165,34.6459737,"Rio Communities, Valencia County, New Mexico, United States","(34.6459737, -106.7169165, 0.0)"
West Hill,2857,"2,856","33,323",-79.1872905,43.7689144,"West Hill, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1E 2N7, Canada","(43.7689144, -79.1872905, 0.0)"
West Humber-Clairville,4338,"1,117","31,771",-0.161157735043996,53.89504245,"Clairville, Rolston Road, Hornsea, Rolston, East Riding of Yorkshire, Yorkshire and the Humber, England, HU18 1UH, United Kingdom","(53.89504245, -0.161157735043996, 0.0)"
Westminster-Branson,837,"7,339","32,724",,,,
Weston,1410,"7,197","32,997",-2.9778916,51.3471927,"Weston-super-Mare, North Somerset, South West England, England, BS23 1SL, United Kingdom","(51.3471927, -2.9778916, 0.0)"
Wexford/Maryvale,2350,"2,724","35,047",,,,
Willowdale East,1867,"10,087","45,326",-79.4109234,43.7615095,"Willowdale, North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7615095, -79.4109234, 0.0)"
Willowdale West,548,"5,820","44,576",-79.4109234,43.7615095,"Willowdale, North York, Toronto, Golden Horseshoe, Ontario, Canada","(43.7615095, -79.4109234, 0.0)"
Willowridge-Martingrove-Richview,1081,"4,007","44,177",,,,
Woburn,3158,"4,345","30,878",-71.1522766,42.4792618,"Woburn, Middlesex County, Massachusetts, United States","(42.4792618, -71.1522766, 0.0)"
Woodbine Corridor,648,"7,838","55,199",-79.3093948,43.6984937,"Taylor Creek Hydro Corridor (East Section) Trail, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 4K7, Canada","(43.6984937, -79.3093948, 0.0)"
Woodbine-Lumsden,434,"6,722","47,710",-79.3157225,43.692829,"Lumsden Avenue, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 4J2, Canada","(43.692829, -79.3157225, 0.0)"
Wychwood,623,"8,541","54,460",28.1275,-26.2005556,"Wychwood, City of Ekurhuleni Metropolitan Municipality, Gauteng, 2007, South Africa","(-26.2005556, 28.1275, 0.0)"
Yonge-Eglinton,325,"7,162","89,330",-79.3983271,43.7067479,"Yonge & Eglinton, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4P 3A1, Canada","(43.7067479, -79.3983271, 0.0)"
Yonge-St.Clair,234,"10,708","114,174",-79.3940036,43.6882104,"Yonge Street, St. Clair Avenue East, Deer Park, Toronto—St. Paul's, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4T 1L9, Canada","(43.6882104, -79.3940036, 0.0)"
York University Heights,3141,"2,086","29,958",-73.9135154,40.8618406,"University Heights, West Fordham Road, University Heights, The Bronx, Bronx County, New York, 10468, United States of America","(40.8618406, -73.9135154, 0.0)"
Yorkdale-Glen Park,1571,"2,451","38,527",-79.4533397364436,43.7104338,"Yorkdale Court, 2961, Dufferin Street, Glen Park, Eglinton—Lawrence, North York, Toronto, Golden Horseshoe, Ontario, M6B 3T2, Canada","(43.7104338, -79.4533397364436, 0.0)"
